1304093,Mumbai,2022-05-02,2022,47,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,7,NA,RK Singh,J Madanagopal,N Pandit
1304092,Pune,2022-05-01,2022,46,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,Runs,13,NA,RD Gaikwad,AK Chaudhary,KN Ananthapadmanabhan
1304091,Mumbai,2022-05-01,2022,45,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Lucknow Super Giants,Runs,6,NA,Mohsin Khan,Chirra Ravikanthreddy,CB Gaffaney
1304090,Navi Mumbai,2022-04-30,2022,44,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,5,NA,SA Yadav,BNJ Oxenford,YC Barde
1304089,Mumbai,2022-04-30,2022,43,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,Gujarat Titans,Wickets,6,NA,R Tewatia,HAS Khalid,VK Sharma
1304088,Pune,2022-04-29,2022,42,Lucknow Super Giants,Punjab Kings,Punjab Kings,field,Lucknow Super Giants,Runs,20,NA,KH Pandya,MA Gough,UV Gandhe
1304087,Mumbai,2022-04-28,2022,41,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,4,NA,Kuldeep Yadav,AK Chaudhary,PG Pathak
1304086,Mumbai,2022-04-27,2022,40,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,5,NA,Umran Malik,CB Gaffaney,Navdeep Singh
1304085,Pune,2022-04-26,2022,39,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rajasthan Royals,Runs,29,NA,R Parag,BNJ Oxenford,KN Ananthapadmanabhan
1304084,Mumbai,2022-04-25,2022,38,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,Runs,11,NA,S Dhawan,M Erasmus,Tapan Sharma
1304083,Mumbai,2022-04-24,2022,37,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,Runs,36,NA,KL Rahul,M Erasmus,HAS Khalid
1304082,Mumbai,2022-04-23,2022,36,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,9,NA,M Jansen,Chirra Ravikanthreddy,J Madanagopal
1304081,Navi Mumbai,2022-04-23,2022,35,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans,bat,Gujarat Titans,Runs,8,NA,Rashid Khan,KN Ananthapadmanabhan,UV Gandhe
1304080,Mumbai,2022-04-22,2022,34,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,Runs,15,NA,JC Buttler,NA Patwardhan,Nitin Menon
1304079,Navi Mumbai,2022-04-21,2022,33,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wickets,3,NA,Mukesh Choudhary,BNJ Oxenford,UV Gandhe
1304078,Mumbai,2022-04-20,2022,32,Punjab Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,9,NA,Kuldeep Yadav,RJ Tucker,Tapan Sharma
1304077,Mumbai,2022-04-19,2022,31,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,Runs,18,NA,F du Plessis,CB Gaffaney,N Pandit
1304076,Mumbai,2022-04-18,2022,30,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,Runs,7,NA,YS Chahal,GR Sadashiv Iyer,VK Sharma
1304075,Pune,2022-04-17,2022,29,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,3,NA,DA Miller,KN Ananthapadmanabhan,UV Gandhe
1304074,Mumbai,2022-04-17,2022,28,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,7,NA,Umran Malik,PG Pathak,R Pandit
1304073,Mumbai,2022-04-16,2022,27,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bangalore,Runs,16,NA,KD Karthik,Chirra Ravikanthreddy,J Madanagopal
1304072,Mumbai,2022-04-16,2022,26,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,Runs,18,NA,KL Rahul,AK Chaudhary,NA Patwardhan
1304071,Mumbai,2022-04-15,2022,25,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,7,NA,RA Tripathi,GR Sadashiv Iyer,VK Sharma
1304070,Mumbai,2022-04-14,2022,24,Gujarat Titans,Rajasthan Royals,Rajasthan Royals,field,Gujarat Titans,Runs,37,NA,HH Pandya,CB Gaffaney,R Pandit
1304069,Pune,2022-04-13,2022,23,Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,Runs,12,NA,MA Agarwal,BNJ Oxenford,UV Gandhe
1304068,Mumbai,2022-04-12,2022,22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Chennai Super Kings,Runs,23,NA,S Dube,Nitin Menon,N Pandit
1304067,Mumbai,2022-04-11,2022,21,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,8,NA,KS Williamson,Chirra Ravikanthreddy,RJ Tucker
1304066,Mumbai,2022-04-10,2022,20,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Rajasthan Royals,Runs,3,NA,YS Chahal,AK Chaudhary,Tapan Sharma
1304065,Mumbai,2022-04-10,2022,19,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Capitals,Runs,44,NA,Kuldeep Yadav,CB Gaffaney,J Madanagopal
1304064,Pune,2022-04-09,2022,18,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,7,NA,Anuj Rawat,BNJ Oxenford,KN Ananthapadmanabhan
1304063,Mumbai,2022-04-09,2022,17,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Wickets,8,NA,Abhishek Sharma,Navdeep Singh,Nitin Menon
1304062,Mumbai,2022-04-08,2022,16,Punjab Kings,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,6,NA,Shubman Gill,AK Chaudhary,VK Sharma
1304061,Mumbai,2022-04-07,2022,15,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,Wickets,6,NA,Q de Kock,RJ Tucker,Tapan Sharma
1304060,Pune,2022-04-06,2022,14,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,5,NA,PJ Cummins,BNJ Oxenford,KN Ananthapadmanabhan
1304059,Mumbai,2022-04-05,2022,13,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,4,NA,KD Karthik,AK Chaudhary,HAS Khalid
1304058,Mumbai,2022-04-04,2022,12,Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Lucknow Super Giants,Runs,12,NA,Avesh Khan,J Madanagopal,Navdeep Singh
1304057,Mumbai,2022-04-03,2022,11,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,Runs,54,NA,LS Livingstone,RJ Tucker,YC Barde
1304056,Pune,2022-04-02,2022,10,Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,Runs,14,NA,LH Ferguson,KN Ananthapadmanabhan,UV Gandhe
1304055,Mumbai,2022-04-02,2022,9,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,Runs,23,NA,JC Buttler,Nitin Menon,PG Pathak
1304054,Mumbai,2022-04-01,2022,8,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,6,NA,UT Yadav,AK Chaudhary,HAS Khalid
1304053,Mumbai,2022-03-31,2022,7,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,Wickets,6,NA,E Lewis,RJ Tucker,VK Sharma
1304052,Mumbai,2022-03-30,2022,6,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,3,NA,PWH de Silva,J Madanagopal,Navdeep Singh
1304051,Pune,2022-03-29,2022,5,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,Runs,61,NA,SV Samson,BNJ Oxenford,UV Gandhe
1304050,Mumbai,2022-03-28,2022,4,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,5,NA,Mohammed Shami,PG Pathak,VK Sharma
1304049,Mumbai,2022-03-27,2022,3,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,Wickets,5,NA,OF Smith,Nitin Menon,YC Barde
1304048,Mumbai,2022-03-27,2022,2,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,4,NA,Kuldeep Yadav,RJ Tucker,HAS Khalid
1304047,Mumbai,2022-03-26,2022,1,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,6,NA,UT Yadav,AK Chaudhary,Nitin Menon
1254117,Dubai,2021-10-15,2021,Final,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,Runs,27,NA,F du Plessis,Nitin Menon,RK Illingworth
1254116,Sharjah,2021-10-13,2021,Qualifier 2,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,3,NA,VR Iyer,KN Ananthapadmanabhan,MA Gough
1254115,Sharjah,2021-10-11,2021,Eliminator,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Kolkata Knight Riders,Wickets,4,NA,SP Narine,CB Gaffaney,VK Sharma
1254114,Dubai,2021-10-10,2021,Qualifier 1,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,Wickets,4,NA,RD Gaikwad,Nitin Menon,RK Illingworth
1254101,Dubai,2021-10-08,2021,56,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Wickets,7,NA,KS Bharat,KN Ananthapadmanabhan,Nitin Menon
1254088,Abu Dhabi,2021-10-08,2021,55,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,Runs,42,NA,Ishan Kishan,Tapan Sharma,VK Sharma
1254106,Sharjah,2021-10-07,2021,54,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,Runs,86,NA,Shivam Mavi,MA Gough,HAS Khalid
